Comments,Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth (MCD) (CCSF),Depth comp [mcd] (two-site composite (Depth CCS...),Ca_Area,Ca_Area_corrected,Fe_Area,Fe_Area_corrected,Al_Area,Al_Area_corrected,Al_ DArea,Si_Area,Si_Area_corrected,Si_ DArea,P_Area,P_ DArea,S_Area,S_ DArea,Cl_Area,Cl_Area_corrected,Cl_ DArea,Ar_Area,Ar_ DArea,K_Area,K_Area_corrected,K_ DArea,Ca_ DArea,Ti_Area,Ti_Area_corrected,Ti_ DArea,Cr_Area,Cr_ DArea,Mn_Area,Mn_Area_corrected,Mn_ DArea,Fe_ DArea,Rh_Area,Rh_Area_corrected,Rh_ DArea,Ba_Area,Ba_ DArea
,342,U1408,C,4,H,3,600,,24.9,27.2,28.16,810507,810507,443694,443694,30086,30086,8,315567,315567,19,-246,6,6082,7,130845,,18,-15065,11,154518,,17,30,48779,48779,12,1889,10,1253,,11,24,128986,,19,2969,8
,342,U1408,C,4,H,3,620,,24.92,27.22,28.18,850405,850405,459437,459437,28697,28697,8,298110,298110,18,-506,6,5710,7,135741,,18,-18095,11,144880,,17,31,48225,48225,12,2035,10,1343,,11,24,124978,,19,3017,8
,342,U1408,C,4,H,3,640,,24.94,27.24,28.20,824594,824594,454455,454455,28635,28635,8,303880,303880,19,-522,6,6953,7,133847,,18,-17484,11,146441,,17,30,47467,47467,12,1610,10,1401,,11,24,127793,,19,2681,8
,342,U1408,C,4,H,3,660,,24.96,27.26,28.22,871638,871638,463745,463745,29343,29343,8,302417,302417,19,-532,6,6209,7,133053,,18,-17091,11,142791,,17,31,46093,46093,11,1621,10,1431,,11,24,125502,,19,2712,8
,342,U1408,C,4,H,3,680,,24.98,27.28,28.24,863212,863212,439077,439077,28899,28899,8,300488,300488,19,-738,6,6204,7,131982,,17,-15922,11,144088,,17,31,46465,46465,11,1836,10,1638,,11,23,119366,,18,2334,8
,342,U1408,C,4,H,3,700,,25,27.3,28.26,690365,690365,542781,542781,28327,28327,8,300253,300253,18,-624,6,11147,8,136224,,18,-17139,11,145094,,17,28,47519,47519,12,1749,10,1412,,11,26,121174,,19,2756,8
,342,U1408,C,4,H,3,720,,25.02,27.32,28.28,758535,758535,479909,479909,29575,29575,8,303139,303139,19,-792,6,6041,7,133912,,17,-16080,11,146911,,17,29,49310,49310,12,1292,10,1445,,11,24,119648,,18,2448,8
,342,U1408,C,4,H,3,740,,25.04,27.34,28.30,783447,783447,459948,459948,28856,28856,8,300001,300001,19,-521,6,6036,7,129645,,17,-16276,11,145453,,17,30,49930,49930,12,785,10,1195,,11,24,118096,,18,2590,8
,342,U1408,C,4,H,3,760,,25.06,27.36,28.32,584842,584842,501809,501809,30545,30545,8,312549,312549,19,-140,6,6298,7,133919,,17,-17106,11,149488,,17,26,52178,52178,12,753,10,1337,,11,25,116181,,18,1978,8
,342,U1408,C,4,H,3,780,,25.08,27.38,28.34,665322,665322,495864,495864,29247,29247,8,301563,301563,19,-425,6,6249,7,134506,,17,-18558,11,145724,,17,28,49871,49871,12,1419,10,1369,,11,25,121381,,18,2472,8
,342,U1408,C,4,H,3,800,,25.1,27.4,28.36,619701,619701,517288,517288,29598,29598,8,299275,299275,18,-679,6,6855,7,136599,,17,-14319,11,147842,,17,27,50261,50261,12,1455,10,1581,,11,25,116527,,18,2784,8
,342,U1408,C,4,H,3,820,,25.12,27.42,28.38,624257,624257,514810,514810,28721,28721,8,297779,297779,18,-373,6,7223,7,136970,,17,-16170,11,146762,,17,27,50709,50709,12,1973,10,1419,,11,25,118048,,18,2552,8
,342,U1408,C,4,H,3,840,,25.14,27.44,28.40,612297,612297,512624,512624,31408,31408,8,316986,316986,19,-260,6,6188,7,131647,,17,-19036,11,150418,,17,27,51894,51894,12,959,10,1955,,11,25,120729,,18,2478,8
,342,U1408,C,4,H,3,860,,25.16,27.46,28.42,640159,640159,486540,486540,30163,30163,8,304285,304285,19,-472,6,7059,7,134297,,17,-18160,11,147024,,17,27,50446,50446,12,1277,10,1091,,11,24,118938,,18,2248,8
,342,U1408,C,4,H,3,880,,25.18,27.48,28.44,605514,605514,497227,497227,27932,27932,8,289133,289133,18,-373,6,7072,7,140449,,18,-16352,11,143192,,16,27,47379,47379,11,1670,10,1084,,11,25,115929,,18,2448,8
,342,U1408,C,4,H,3,900,,25.2,27.5,28.46,679135,679135,443021,443021,31377,31377,8,312358,312358,19,-619,6,6953,7,129841,,17,-16620,11,148874,,17,28,53127,53127,12,1529,10,1527,,11,24,114920,,18,2463,8
,342,U1408,C,4,H,3,920,,25.22,27.52,28.48,537062,537062,520459,520459,31061,31061,8,314633,314633,19,-215,5,6850,7,132031,,17,-16188,11,158064,,17,25,53047,53047,12,1033,10,1613,,11,25,117106,,18,2476,8
,342,U1408,C,4,H,3,940,,25.24,27.54,28.50,523462,523462,533949,533949,32153,32153,8,326694,326694,19,0,6,6321,7,129307,,17,-17852,11,164764,,17,25,54129,54129,12,993,10,1951,,11,25,119983,,18,2429,8
,342,U1408,C,4,H,3,960,,25.26,27.56,28.52,541548,541548,506829,506829,31263,31263,8,317271,317271,19,-421,6,6723,7,133105,,17,-17533,11,160139,,17,26,51384,51384,12,284,10,1260,,11,25,119231,,18,2562,8
,342,U1408,C,4,H,3,980,,25.28,27.58,28.54,637741,637741,477624,477624,31497,31497,8,320769,320769,19,-115,6,7043,7,129275,,17,-19107,11,160367,,17,27,51713,51713,12,1240,10,1818,,11,24,120491,,18,2928,8
,342,U1408,C,4,H,3,1000,,25.3,27.6,28.56,522539,522539,515560,515560,30933,30933,8,323646,323646,19,-220,5,6560,7,127819,,17,-19208,11,165062,,17,25,52907,52907,12,1013,10,1330,,11,25,120825,,18,2772,8
,342,U1408,C,4,H,3,1020,,25.32,27.62,28.58,464297,464297,552224,552224,31800,31800,8,320779,320779,19,-195,5,6678,7,133450,,17,-18965,11,172688,,17,24,52977,52977,12,-372,10,1795,,11,26,119801,,18,2276,8
,342,U1408,C,4,H,3,1040,,25.34,27.64,28.60,503520,503520,549813,549813,30860,30860,8,316017,316017,19,-157,6,7507,7,133947,,17,-18080,11,168317,,17,25,52272,52272,12,314,10,1719,,11,26,116472,,18,2264,8
,342,U1408,C,4,H,3,1060,,25.36,27.66,28.62,442828,442828,565030,565030,28920,28920,8,304911,304911,19,-81,5,7262,7,138432,,17,-17770,11,164562,,17,24,50902,50902,12,394,10,1673,,11,26,119946,,18,2202,8
,342,U1408,C,4,H,3,1080,,25.38,27.68,28.64,427342,427342,567618,567618,30803,30803,8,309173,309173,19,-269,5,6727,7,136379,,18,-20395,11,169089,,17,23,51842,51842,12,628,10,1290,,11,26,124321,,19,2687,8
,342,U1408,C,4,H,3,1100,,25.4,27.7,28.66,431507,431507,549156,549156,30238,30238,8,304217,304217,19,-155,5,7529,7,136808,,17,-20071,11,170584,,17,23,53614,53614,12,1,10,1476,,11,26,120820,,18,2916,8
,342,U1408,C,4,H,3,1120,,25.42,27.72,28.68,544509,544509,538516,538516,31139,31139,8,305050,305050,19,-225,6,7033,7,136396,,17,-17930,11,157798,,17,26,52734,52734,12,858,10,1053,,11,25,118369,,18,3292,8
,342,U1408,C,4,H,3,1140,,25.44,27.74,28.70,582251,582251,505057,505057,31231,31231,8,311225,311225,19,-498,6,6592,7,133435,,17,-15728,11,165230,,17,26,53056,53056,12,639,10,1538,,11,25,115844,,18,3080,8
,342,U1408,C,4,H,3,1160,,25.46,27.76,28.72,673904,673904,492272,492272,30668,30668,8,299443,299443,18,-458,6,6824,7,136003,,17,-17160,11,153684,,17,28,51316,51316,12,1495,10,1991,,11,25,119494,,19,2551,8
,342,U1408,C,4,H,3,1180,,25.48,27.78,28.74,702714,702714,486873,486873,30632,30632,8,302443,302443,19,-465,6,7554,7,130849,,17,-16600,11,153243,,17,28,50795,50795,12,1426,10,1170,,11,24,120663,,18,2692,8
,342,U1408,C,4,H,3,1200,,25.5,27.8,28.76,663132,663132,549107,549107,28473,28473,8,274318,274318,18,-1070,6,10498,8,140593,,18,-14766,11,133997,,16,28,48039,48039,12,1563,10,1497,,11,26,113809,,18,2535,8
,342,U1408,C,4,H,3,1220,,25.52,27.82,28.78,686415,686415,536813,536813,27962,27962,8,278156,278156,18,-866,6,7725,7,144004,,18,-17234,11,132415,,16,28,48022,48022,12,1526,10,1554,,11,25,120185,,19,2629,8
,342,U1408,C,4,H,3,1240,,25.54,27.84,28.80,695029,695029,547245,547245,28732,28732,8,283527,283527,18,-596,6,7985,7,141287,,18,-15217,11,137184,,16,28,50069,50069,12,2098,10,1237,,11,26,120104,,19,2672,8
,342,U1408,C,4,H,3,1260,,25.56,27.86,28.82,755585,755585,519524,519524,31014,31014,8,296784,296784,18,-283,6,7886,7,136415,,18,-17481,11,138736,,17,29,49153,49153,12,1757,10,1184,,11,25,121545,,19,2436,8
,342,U1408,C,4,H,3,1280,,25.58,27.88,28.84,775898,775898,505965,505965,32463,32463,8,305787,305787,19,-492,6,9232,7,134648,,18,-18430,11,140068,,17,30,51293,51293,12,2074,10,1975,,11,25,119035,,19,2805,8
,342,U1408,C,4,H,3,1300,,25.6,27.9,28.86,764506,764506,488457,488457,31061,31061,8,291123,291123,18,-653,6,7381,7,137582,,18,-14550,11,138586,,16,29,49602,49602,12,1324,10,886,,11,25,116367,,18,2806,8
,342,U1408,C,4,H,3,1320,,25.62,27.92,28.88,746829,746829,494075,494075,30879,30879,8,299099,299099,18,-517,6,6787,7,135764,,18,-15930,11,142095,,17,29,50254,50254,12,1729,10,1548,,11,25,119309,,19,2402,8
,342,U1408,C,4,H,3,1340,,25.64,27.94,28.90,713369,713369,511106,511106,31595,31595,8,305307,305307,19,-794,6,7173,7,136907,,18,-16859,11,144855,,17,29,51852,51852,12,1995,10,1359,,11,25,118062,,18,3544,8
